OLD_FIPS,NEW_FIPS,NEW_NAME,NEW_STUSPS
02013,02010,Aleutian Islands,AK
02016,02010,Aleutian Islands,AK
02068,02290,Yukon-Koyukuk,AK
02105,02999,Skagway-Ketchikan Peninsula,AK
02158,02158,Kusilvak,AK
02195,02999,Skagway-Ketchikan Peninsula,AK
02198,02999,Skagway-Ketchikan Peninsula,AK
02201,02999,Skagway-Ketchikan Peninsula,AK
02230,02999,Skagway-Ketchikan Peninsula,AK
02231,02999,Skagway-Ketchikan Peninsula,AK
02232,02999,Skagway-Ketchikan Peninsula,AK
02261,02261,Valdez-Cordova,AK
02270,02158,Kusilvak,AK
02275,02999,Skagway-Ketchikan Peninsula,AK
02280,02999,Skagway-Ketchikan Peninsula,AK
02282,02999,Skagway-Ketchikan Peninsula,AK
12025,12086,Miami-Dade County,FL
46113,46102,Oglala Lakota County,SD
51515,51019,Bedford County,VA
51560,51005,Alleghany County,VA
51780,51083,Halifax County,VA
57001,57009,FOREIGN,FR
57003,57009,FOREIGN,FR
57005,57005,APO/FPO,FR
57007,57009,FOREIGN,FR
58000,58000,SAME STATE,SS
59000,59000,DIFFERENT STATE,DS
59001,59001,REGION 1: NORTHEAST,RN
59003,59003,REGION 2: MIDWEST,RM
59005,59005,REGION 3: SOUTH,RS
59007,59007,REGION 4: WEST,RW
59999,59999,ALL OTHER FLOWS,OF
60010,57009,FOREIGN,FR
60020,57009,FOREIGN,FR
60030,57009,FOREIGN,FR
60040,57009,FOREIGN,FR
60050,57009,FOREIGN,FR
63010,58000,SAME STATE,SS
63011,59001,REGION 1: NORTHEAST,RN
63012,59003,REGION 2: MIDWEST,RM
63013,59005,REGION 3: SOUTH,RS
63014,59007,REGION 4: WEST,RW
63015,57009,FOREIGN,FR
63020,58000,SAME STATE,SS
63021,59000,DIFFERENT STATE,DS
63022,59000,DIFFERENT STATE,DS
66010,57009,FOREIGN,FR
69085,57009,FOREIGN,FR
69100,57009,FOREIGN,FR
69110,57009,FOREIGN,FR
69120,57009,FOREIGN,FR
78010,57009,FOREIGN,FR
78020,57009,FOREIGN,FR
78030,57009,FOREIGN,FR
29193,29186,Ste. Genevieve County,MO
46131,46071,Jackson County,SD
51123,51800,Suffolk city,VA
02063,02261,Valdez-Cordova,AK
02066,02261,Valdez-Cordova,AK
09001,09999,CONNECTICUT,CT
09003,09999,CONNECTICUT,CT
09005,09999,CONNECTICUT,CT
09007,09999,CONNECTICUT,CT
09009,09999,CONNECTICUT,CT
09011,09999,CONNECTICUT,CT
09013,09999,CONNECTICUT,CT
09015,09999,CONNECTICUT,CT
09110,09999,CONNECTICUT,CT
09120,09999,CONNECTICUT,CT
09130,09999,CONNECTICUT,CT
09140,09999,CONNECTICUT,CT
09150,09999,CONNECTICUT,CT
09160,09999,CONNECTICUT,CT
09170,09999,CONNECTICUT,CT
09180,09999,CONNECTICUT,CT
09190,09999,CONNECTICUT,CT
